Date,Price,Open,High,Low,Vol.,CB_n330_Low,CB_n330_High,CB_n330_Avg,BCO_Close
1/2/2012,2.616,2.465,2.733,2.34,3230000,"1,402","1,550","1,476",122.66
1/3/2012,2.126,2.593,2.597,2.101,2470000,"1,480","1,636","1,558",122.88
1/4/2012,2.285,2.122,2.32,1.902,2440000,"1,543","1,705","1,624",119.47
1/5/2012,2.422,2.311,2.759,2.236,3180000,"1,568","1,734","1,651",101.43
1/6/2012,2.824,2.408,2.946,2.168,3100000,"1,538","1,700","1,619",97.88
1/7/2012,3.209,2.804,3.277,2.718,2720000,"1,437","1,589","1,513",103.84
1/8/2012,2.799,3.217,3.241,2.575,3310000,"1,320","1,458","1,389",114.05
1/9/2012,3.32,2.806,3.33,2.647,2810000,"1,366","1,510","1,438",111.58
1/10/2012,3.692,3.325,3.82,3.325,3550000,"1,446","1,598","1,522",107.56
1/11/2012,3.561,3.692,3.933,3.47,2300000,"1,460","1,614","1,537",110.25
1/12/2012,3.351,3.553,3.748,3.261,2500000,"1,413","1,561","1,487",109.89
1/1/2013,3.339,3.348,3.645,3.05,2630000,"1,366","1,514","1,440",114.54
1/2/2013,3.486,3.328,3.554,3.125,2610000,"1,372","1,524","1,448",110.42
1/3/2013,4.024,3.491,4.121,3.408,2750000,"1,406","1,554","1,480",110.02
1/4/2013,4.343,3.969,4.429,3.861,3450000,"1,429","1,579","1,504",102.37
1/5/2013,3.984,4.34,4.444,3.883,2590000,"1,397","1,544","1,471",100.39
1/6/2013,3.565,3.963,4.04,3.526,2450000,"1,357","1,500","1,428",102.16
1/7/2013,3.446,3.547,3.835,3.413,2160000,"1,352","1,494","1,423",107.7
1/8/2013,3.581,3.452,3.655,3.129,2620000,"1,337","1,480","1,409",114.01
1/9/2013,3.56,3.601,3.82,3.402,2049999,"1,350","1,495","1,423",108.37
1/10/2013,3.581,3.557,3.869,3.48,2750000,"1,369","1,514","1,442",108.84
1/11/2013,3.954,3.574,3.962,3.379,2080000,"1,384","1,532","1,458",109.69
1/12/2013,4.23,3.911,4.532,3.897,2990000,"1,357","1,507","1,432",110.8
1/1/2014,4.943,4.232,5.725,3.953,3360000,"1,356","1,506","1,431",106.4
