Date,Price,Open,High,Low,Vol,CB_n330_Low,CB_n330_High,Normali,CB_n330_Avg,BCO_Close,EMA_3
01-02-2012,2.616,2.465,2.733,2.34,3230000,1402,1550,100,1476,122.66,
01-03-2012,2.126,2.593,2.597,2.101,2470000,1480,1636,105.5555556,1558,122.88,
01-04-2012,2.285,2.122,2.32,1.902,2440000,1543,1705,110.0271003,1624,119.47,1570.5
01-05-2012,2.422,2.311,2.759,2.236,3180000,1568,1734,111.8563686,1651,101.43,1610.75
01-06-2012,2.824,2.408,2.946,2.168,3100000,1538,1700,109.6883469,1619,97.88,1614.875
01-07-2012,3.209,2.804,3.277,2.718,2720000,1437,1589,102.5067751,1513,103.84,1563.938
01-08-2012,2.799,3.217,3.241,2.575,3310000,1320,1458,94.10569106,1389,114.05,1476.469
01-09-2012,3.32,2.806,3.33,2.647,2810000,1366,1510,97.42547425,1438,111.58,1457.234
01-10-2012,3.692,3.325,3.82,3.325,3550000,1446,1598,103.1165312,1522,107.56,1489.617
01-11-2012,3.561,3.692,3.933,3.47,2300000,1460,1614,104.1327913,1537,110.25,1513.309
01-12-2012,3.351,3.553,3.748,3.261,2500000,1413,1561,100.7452575,1487,109.89,1500.154
01-01-2013,3.339,3.348,3.645,3.05,2630000,1366,1514,97.56097561,1440,114.54,1470.077
01-02-2013,3.486,3.328,3.554,3.125,2610000,1372,1524,98.10298103,1448,110.42,1459.039
01-03-2013,4.024,3.491,4.121,3.408,2750000,1406,1554,100.2710027,1480,110.02,1469.519
01-04-2013,4.343,3.969,4.429,3.861,3450000,1429,1579,101.897019,1504,102.37,1486.76
01-05-2013,3.984,4.34,4.444,3.883,2590000,1397,1544,99.66124661,1471,100.39,1478.88
01-06-2013,3.565,3.963,4.04,3.526,2450000,1357,1500,96.74796748,1428,102.16,1453.44
01-07-2013,3.446,3.547,3.835,3.413,2160000,1352,1494,96.40921409,1423,107.7,1438.22
01-08-2013,3.581,3.452,3.655,3.129,2620000,1337,1480,95.46070461,1409,114.01,1423.61
01-09-2013,3.56,3.601,3.82,3.402,2049999,1350,1495,96.40921409,1423,108.37,1423.305
01-10-2013,3.581,3.557,3.869,3.48,2750000,1369,1514,97.69647696,1442,108.84,1432.652
01-11-2013,3.954,3.574,3.962,3.379,2080000,1384,1532,98.7804878,1458,109.69,1445.326
01-12-2013,4.23,3.911,4.532,3.897,2990000,1357,1507,97.01897019,1432,110.8,1438.663
01-01-2014,4.943,4.232,5.725,3.953,3360000,1356,1506,96.95121951,1431,106.4,1434.832
01-02-2014,4.609,4.85,6.493,4.441,3180000,1393,1545,99.52574526,1469,109.07,1451.916
01-03-2014,4.371,4.69,4.736,4.262,1940000,1361,1511,97.2899729,1436,107.76,1443.958
01-04-2014,4.815,4.367,4.852,4.221,2040000,1395,1544,99.59349593,1470,108.07,1456.979
01-05-2014,4.542,4.797,4.827,4.289,1890000,1374,1518,97.96747967,1446,108.68,1451.489
01-06-2014,4.461,4.551,4.886,4.35,2089999,1390,1535,99.11924119,1463,112.07,1457.245
01-07-2014,3.841,4.447,4.488,3.723,1830000,1400,1545,99.79674797,1473,106.53,1465.122
01-08-2014,4.065,3.829,4.101,3.727,1970000,1415,1560,100.8130081,1488,103.77,1476.561
